character,stroke,pinyin,radical
一,1,yī,一
八,2,bā,八
厂,2,"chǎng|ān|hàn",厂
儿,2,"ér|er",儿
二,2,èr,二
几,2,"jī|jǐ",几
九,2,jiǔ,丿
了,2,"liǎo|le",乛
力,2,lì,力
七,2,qī,一
人,2,rén,人
入,2,rù,入
十,2,shí,十
又,2,yòu,又
才,3,cái,才
大,3,"dà|dài|tài",大
飞,3,fēi,飞
干,3,"gān|gàn",干
个,3,"gè|gě",人
工,3,ɡōnɡ,工
广,3,"guǎng|ān",广
及,3,jí,又
己,3,jǐ,己
口,3,kǒu,口
马,3,mǎ,马
么,3,"yāo|mó",丿
门,3,mén,门
千,3,qiān,十
三,3,sān,一
山,3,shān,山
上,3,"shàng|shǎng",一
土,3,tǔ,土
万,3,"wàn|mò",一
习,3,xí,乙
下,3,xià,一
小,3,xiǎo,小
也,3,yě,乙
义,3,yì,丶
已,3,yǐ,己
于,3,yú,二
与,3,"yǔ|yù|yú",一
之,3,zhī,丶
子,3,zǐ,子
办,4,bàn,力
比,4,bǐ,比
不,4,"bù|fǒu",一
长,4,chánɡ,长
车,4,"chē|jū",车
从,4,"cóng|zòng",人
斗,4,"dǒu|dòu",斗
队,4,duì,阝
反,4,fǎn,又
方,4,fānɡ,方
分,4,"fēn|fèn",刁
风,4,"fēng|fěng",风
公,4,ɡōnɡ,八
化,4,"huà|huā",亻
火,4,huǒ,火
计,4,jì,讠
见,4,"jiàn|xiàn",见
今,4,jīn,人
开,4,kāi,廾
历,4,lì,厂
六,4,"liù|lù",八
毛,4,máo,毛
内,4,"nèi|nà",冂
片,4,"piàn|piān",片
气,4,qì,气
切,4,"qiē|qiè",刁
区,4,"qū|ōu",匚
认,4,rèn,讠
日,4,rì,日
少,4,"shǎo|shào",小
什,4,"shí|shén",亻
手,4,shǒu,手
书,4,shū,乛
水,4,shuǐ,水
太,4,tài,大
天,4,tiān,大
王,4,"wáng|wàng",王
为,4,"wéi|wèi",丶
文,4,wén,文
无,4,wú,一
五,4,wǔ,二
心,4,xīn,心
以,4,yǐ,人
引,4,yǐn,弓
元,4,yuán,儿
月,4,yuè,月
支,4,zhī,支
中,4,"zhōng|zhòng",丨
专,4,zhuān,一
白,5,bái,白
半,5,bàn,十
包,5,bāo,勹
北,5,"běi|bèi",匕
本,5,běn,木
必,5,bì,心
边,5,biān,辶
布,5,bù,巾
处,5,"chǔ|chù",夂
出,5,chū,凵
打,5,"dǎ|dá",才
代,5,dài,亻
电,5,diàn,田
东,5,dōnɡ,一
对,5,duì,寸
发,5,"fā|fà",又
号,5,"hào|háo",口
记,5,jì,讠
加,5,jiā,力
叫,5,jiào,口
节,5,"jié|jiē",艹
可,5,"kě|kè",口
立,5,lì,立
龙,5,lónɡ,龙
们,5,mén,亻
民,5,mín,氏
目,5,mù,目
平,5,pínɡ,干
且,5,"qiě|jū",一
去,5,qù,厶
生,5,shēnɡ,生
石,5,"shí|dàn",石
世,5,shì,一
市,5,shì,巾
示,5,shì,示
史,5,shǐ,口
术,5,"shù|shú|zhú",木
四,5,sì,囗
他,5,tā,亻
它,5,tā,宀
头,5,"tóu|tou",大
外,5,wài,夕
务,5,wù,力
写,5,xiě,冖
业,5,yè,业
议,5,yì,讠
用,5,yònɡ,用
由,5,yóu,田
正,5,"zhèng|zhēng",止
只,5,"zhī|zhǐ",口
主,5,zhǔ,丶
安,6,ān,宀
百,6,bǎi,白
并,6,"bìng|bīng",干
产,6,chǎn,亠
场,6,"cháng|chǎng",土
成,6,chénɡ,戈
传,6,"chuán|zhuàn",亻
次,6,cì,欠
此,6,cǐ,止
存,6,cún,子
达,6,dá,辶
当,6,"dāng|dàng",彐
导,6,dǎo,寸
地,6,"dì|de",土
动,6,dònɡ,力
多,6,duō,夕
而,6,ér,而
各,6,"gè|gě",口
共,6,"gòng|gōng",八
关,6,ɡuān,丷
观,6,"guān|guàn",见
光,6,ɡuānɡ,儿
过,6,"guò|guoguō",辶
好,6,"hǎo|hào",女
合,6,"hé|gě",口
红,6,"hóng|gōng",纟
后,6,hòu,口
华,6,"huá|huà|huā",十
划,6,"huá|huà",刂
回,6,huí,囗
会,6,"huì|kuài",人
级,6,jí,纟
机,6,jī,木
价,6,"jià|jiè|jie",亻
件,6,jiàn,亻
江,6,jiānɡ,氵
交,6,jiāo,亠
阶,6,jiē,阝
决,6,jué,冫
军,6,jūn,冖
老,6,lǎo,耂
列,6,liè,刂
论,6,"lùn|lún",讠
米,6,mǐ,米
名,6,mínɡ,口
那,6,"nà|nǎ|nèi|nā",阝
年,6,nián,干
农,6,nónɡ,冖
全,6,quán,入
权,6,quán,木
任,6,"rèn|rén",亻
如,6,rú,女
色,6,"sè|shǎi",色
设,6,shè,讠
式,6,shì,弋
收,6,shōu,攴
她,6,"tā|jiě",女
同,6,"tóng|tòng",口
团,6,tuán,囗
问,6,wèn,门
西,6,xī,西
先,6,xiān,儿
向,6,xiànɡ,口
行,6,"xíng|háng|hàng|héng",行
许,6,"xǔ|hǔ",讠
压,6,"yā|yà",厂
因,6,yīn,囗
有,6,"yǒu|yòu",月
约,6,"yuē|yāo",纟
再,6,zài,冂
在,6,zài,土
则,6,zé,刂
争,6,zhēnɡ,刁
至,6,zhì,至
众,6,zhònɡ,人
自,6,zì,自
把,7,"bǎ|bà",才
报,7,bào,才
别,7,"bié|biè",刂
步,7,bù,止
层,7,cénɡ,尸
但,7,dàn,亻
低,7,dī,亻
改,7,ɡǎi,攴
更,7,"gēng|gèng",曰
还,7,"huán|hái",辶
何,7,"hé|hē|hè",亻
花,7,huā,艹
即,7,jí,卩
极,7,jí,木
技,7,jì,才
际,7,jì,阝
间,7,"jiān|jiàn",门
角,7,"jiǎo|jué",角
近,7,jìn,辶
进,7,jìn,辶
究,7,jiū,穴
局,7,jú,尸
克,7,kè,十
快,7,kuài,忄
况,7,kuànɡ,冫
来,7,lái,木
劳,7,láo,力
利,7,lì,刂
里,7,lǐ,里
连,7,lián,辶
两,7,liǎnɡ,一
没,7,"méi|mò",氵
每,7,měi,母
你,7,nǐ,亻
求,7,qiú,水
却,7,què,卩
社,7,shè,礻
身,7,shēn,身
声,7,shēnɡ,士
时,7,shí,日
识,7,"shí|zhì",讠
体,7,"tǐ|tī|bèn",亻
条,7,"tiáo|tiāo",木
听,7,tīnɡ,口
完,7,wán,宀
位,7,wèi,亻
我,7,wǒ,戈
系,7,"xì|jì",糸
县,7,"xiàn|xuán",厶
形,7,xínɡ,彡
严,7,yán,一
应,7,"yīng|yìng",广
员,7,"yuán|yún|yùn",口
运,7,yùn,辶
张,7,zhānɡ,弓
这,7,"zhè|zhèi",辶
证,7,zhènɡ,讠
志,7,zhì,心
住,7,zhù,亻
状,7,zhuànɡ,犬
走,7,zǒu,走
作,7,"zuō|zuò",亻
备,8,bèi,夂
变,8,biàn,又
表,8,biǎo,一
采,8,"cǎi|cài",采
参,8,"cān|shēn|cēn|sān",厶
单,8,"dān|shàn|chán",十
到,8,dào,刂
的,8,"dí|dì|de",白
定,8,dìnɡ,宀
法,8,fǎ,氵
放,8,fànɡ,攴
非,8,fēi,非
府,8,fǔ,广
该,8,ɡāi,讠
构,8,ɡòu,木
规,8,ɡuī,见
国,8,ɡuó,囗
果,8,ɡuǒ,木
和,8,"hé|hè|huó|huò|hú",口
话,8,huà,讠
或,8,huò,戈
建,8,jiàn,廴
金,8,jīn,金
京,8,jīnɡ,亠
经,8,jīnɡ,纟
具,8,jù,八
空,8,"kōng|kòng|kǒng",穴
矿,8,kuànɡ,石
拉,8,"lā|lá",才
例,8,lì,亻
林,8,lín,木
明,8,mínɡ,日
命,8,mìnɡ,口
其,8,"qí|jī",八
青,8,qīnɡ,青
取,8,qǔ,又
实,8,shí,宀
事,8,shì,亅
使,8,shǐ,亻
始,8,shǐ,女
受,8,shòu,又
所,8,suǒ,户
图,8,tú,囗
往,8,wǎnɡ,彳
委,8,"wěi|wēi",女
物,8,wù,牜
细,8,xì,纟
现,8,xiàn,见
线,8,xiàn,纟
些,8,"xiē|suò",二
性,8,xìnɡ,忄
学,8,xué,子
易,8,yì,日
油,8,yóu,氵
育,8,yù,月
者,8,zhě,耂
直,8,zhí,目
制,8,zhì,刂
治,8,zhì,氵
质,8,zhì,贝
知,8,"zhī|zhì",矢
织,8,"zhī|zhì",纟
周,8,zhōu,口
转,8,"zhuǎn|zhuàn",车
组,8,zǔ,纟
按,9,àn,才
保,9,bǎo,亻
便,9,"biàn|pián",亻
标,9,biāo,木
查,9,"chá|zhā",木
持,9,chí,才
除,9,chú,阝
带,9,dài,巾
点,9,diǎn,灬
度,9,"dù|duó",广
段,9,duàn,殳
复,9,fù,夂
革,9,"gé|jí",革
给,9,"gěi|jǐ",纟
很,9,hěn,彳
活,9,huó,氵
济,9,"jì|jǐ",氵
将,9,"jiāng|jiàng",寸
结,9,"jié|jiē",纟
界,9,jiè,田
看,9,"kàn|kān",目
科,9,kē,禾
类,9,lèi,米
律,9,lǜ,彳
美,9,měi,八
面,9,miàn,面
南,9,"nán|nā",十
派,9,pai,氵
品,9,pǐn,口
前,9,qián,刂
亲,9,"qīn|qìng",亠
省,9,"shěng|xǐng",目
适,9,shì,辶
是,9,shì,日
说,9,"shuō|shuì|yuè",讠
思,9,"sī|sāi",心
统,9,tǒnɡ,纟
响,9,xiǎnɡ,口
相,9,"xiāng|xiàng",目
信,9,"xìn|shēn",亻
型,9,xínɡ,土
须,9,xū,页
选,9,xuǎn,辶
研,9,"yán|yàn",石
养,9,yǎnɡ,丷
要,9,"yào|yāo",西
音,9,yīn,音
院,9,yuàn,阝
战,9,zhàn,戈
政,9,zhènɡ,攴
指,9,zhǐ,才
重,9,"zhòng|chóng",里
