character,frequency
一,0
乙,1
二,0
十,0
丁,1
厂,0
七,0
卜,1
八,0
人,0
入,0
儿,0
匕,2
几,0
九,0
刁,2
了,0
刀,1
力,0
乃,1
又,0
三,0
干,0
于,0
亏,1
工,0
土,0
士,1
才,0
下,0
寸,1
大,0
丈,1
与,0
万,0
上,0
小,0
口,0
山,0
巾,1
千,0
乞,1
川,1
亿,1
个,0
夕,1
久,1
么,0
勺,1
凡,1
丸,1
及,0
广,0
亡,1
门,0
义,0
之,0
尸,1
己,0
已,0
弓,1
子,0
卫,1
也,0
女,1
刃,1
飞,0
习,0
叉,1
马,0
乡,1
丰,1
王,0
开,0
井,1
天,0
夫,1
元,0
无,0
云,1
专,0
丐,2
扎,1
艺,1
木,1
五,0
支,0
厅,1
不,0
犬,1
太,0
区,0
历,0
歹,2
友,1
尤,1
匹,1
车,0
巨,1
牙,1
屯,1
戈,2
比,0
互,1
切,0
瓦,1
止,1
少,0
日,0
中,0
贝,1
冈,1
内,0
水,0
见,0
午,1
牛,1
手,0
气,0
毛,0
升,1
夭,2
长,0
仁,1
什,0
片,0
仆,1
化,0
仇,1
币,1
仍,1
仅,1
斤,1
爪,1
反,0
介,1
父,1
从,0
仑,2
今,0
凶,1
分,0
乏,1
公,0
仓,1
月,0
氏,1
勿,1
欠,1
风,0
丹,1
匀,1
乌,1
勾,1
凤,1
六,0
文,0
方,0
火,0
为,0
斗,0
忆,1
计,0
订,1
户,1
认,0
冗,2
讥,2
心,0
尺,1
引,0
丑,1
巴,1
孔,1
队,0
办,0
以,0
允,1
予,1
邓,2
劝,1
双,1
书,0
幻,1
玉,1
刊,1
未,1
末,1
示,0
击,1
打,0
巧,1
正,0
扑,1
扒,1
功,1
扔,1
去,0
甘,1
世,0
艾,2
古,1
节,0
本,0
术,0
可,0
丙,1
左,1
厉,1
石,0
右,1
布,0
夯,2
龙,0
平,0
灭,1
轧,1
东,0
卡,1
北,0
占,1
凸,2
卢,2
业,0
旧,1
帅,1
归,1
旦,1
目,0
且,0
叶,1
甲,1
申,1
叮,1
电,0
号,0
田,1
由,0
只,0
叭,2
史,0
央,1
兄,1
叽,2
叼,1
叫,0
叨,1
另,1
叹,1
皿,2
凹,2
囚,2
四,0
生,0
矢,2
失,1
乍,2
禾,1
丘,1
付,1
仗,1
代,0
仙,1
们,0
仪,1
白,0
仔,1
他,0
斥,1
瓜,1
乎,1
丛,1
令,1
用,0
甩,1
印,1
尔,2
乐,1
句,1
匆,1
册,1
犯,1
外,0
处,0
冬,1
鸟,1
务,0
包,0
饥,1
主,0
市,0
立,0
冯,2
玄,2
闪,1
兰,1
半,0
汁,1
汇,1
头,0
汉,1
宁,1
穴,1
它,0
讨,1
写,0
让,1
礼,1
训,1
议,0
必,0
讯,1
记,0
永,1
司,1
尼,1
民,0
出,0
辽,1
奶,1
奴,1
召,1
加,0
皮,1
边,0
孕,1
发,0
圣,1
对,0
台,1
矛,1
纠,1
母,1
幼,1
丝,1
邦,2
式,0
迂,2
刑,1
邢,2
动,0
扛,1
寺,1
吉,1
扣,1
考,1
托,1
老,0
巩,1
圾,1
执,1
扩,1
扫,1
地,0
场,0
扬,1
耳,1
芋,2
共,0
芍,2
芒,1
亚,1
芝,1
朽,1
朴,1
机,0
权,0
过,0
臣,1
吏,2
再,0
协,1
西,0
压,0
厌,1
在,0
百,0
有,0
存,0
而,0
页,1
匠,1
夸,1
夺,1
灰,1
达,0
列,0
死,1
成,0
夹,1
夷,2
轨,1
邪,1
划,0
迈,1
毕,1
至,0
此,0
贞,1
师,1
尘,1
尖,1
劣,1
光,0
当,0
早,1
吁,2
吐,1
吓,1
虫,1
曲,1
团,0
吕,2
同,0
吊,1
吃,1
因,0
吸,1
吗,1
吆,2
屿,1
屹,2
岁,1
帆,1
回,0
岂,1
则,0
刚,1
网,1
肉,1
年,0
朱,1
先,0
丢,1
廷,2
舌,1
竹,1
迁,1
乔,1
迄,2
伟,1
传,0
乒,1
乓,1
休,1
伍,1
伏,1
优,1
臼,2
伐,1
延,1
仲,2
件,0
任,0
伤,1
价,0
伦,2
份,1
华,0
仰,1
仿,1
伙,1
伪,1
自,0
伊,2
血,1
向,0
似,1
后,0
行,0
舟,1
全,0
会,0
杀,1
合,0
兆,1
企,1
众,0
爷,1
伞,1
创,1
肌,1
肋,2
朵,1
杂,1
危,1
旬,1
旨,1
旭,2
负,1
匈,2
名,0
各,0
多,0
凫,2
争,0
色,0
壮,1
冲,1
妆,2
冰,1
庄,1
庆,1
亦,1
刘,1
齐,1
交,0
衣,1
次,0
产,0
决,0
亥,2
充,1
妄,1
闭,1
问,0
闯,1
羊,1
并,0
关,0
米,0
灯,1
州,1
汗,1
污,1
江,0
汛,2
池,1
汤,1
忙,1
兴,1
宇,1
守,1
宅,1
字,1
安,0
讲,1
讳,2
军,0
讶,2
许,0
讹,2
论,0
讼,2
农,0
讽,1
设,0
访,1
诀,2
寻,1
那,0
迅,1
尽,1
导,0
异,1
弛,2
阱,2
孙,1
阵,1
阳,1
收,0
阶,0
阴,1
防,1
奸,1
如,0
妇,1
好,0
她,0
妈,1
戏,1
羽,1
观,0
欢,1
买,1
红,0
驮,2
纤,1
驯,2
约,0
级,0
纪,1
驰,1
纫,2
巡,1
寿,1
弄,1
麦,1
玖,2
玛,2
形,0
进,0
戒,1
吞,1
远,1
违,1
韧,2
运,0
扶,1
抚,1
坛,1
技,0
坏,1
抠,2
扰,1
扼,2
拒,1
找,1
批,1
址,1
扯,1
走,0
抄,1
贡,1
汞,2
坝,1
攻,1
赤,1
折,1
抓,1
扳,2
抡,2
扮,1
抢,1
孝,1
坎,2
均,1
坞,2
抑,2
抛,1
投,1
坟,1
坑,1
抗,1
坊,1
抖,1
护,1
壳,1
志,0
块,1
扭,1
声,0
把,0
报,0
拟,2
却,0
抒,2
劫,1
芙,2
芜,2
苇,2
芽,1
花,0
芹,1
芥,2
芬,1
苍,1
芳,1
严,0
芦,1
芯,2
劳,0
克,0
芭,2
苏,1
杆,1
杠,1
杜,1
材,1
村,1
杖,2
杏,1
杉,2
巫,2
极,0
李,1
杨,1
杈,2
求,0
甫,2
匣,2
更,0
束,1
豆,1
两,0
丽,1
医,1
辰,1
励,1
否,1
还,0
歼,1
来,0
连,0
轩,2
步,0
卤,2
坚,1
肖,2
旱,1
盯,1
呈,1
时,0
吴,1
助,1
县,0
里,0
呆,1
吱,2
吠,2
呕,2
园,1
旷,1
围,1
呀,1
吨,1
足,1
邮,1
男,1
困,1
吵,1
串,1
员,0
呐,2
听,0
吟,2
吩,1
呛,2
吻,2
吹,1
呜,1
吭,2
吧,1
邑,2
吼,1
囤,2
别,0
吮,2
岖,2
岗,1
帐,1
财,1
针,1
钉,1
牡,2
告,1
我,0
乱,1
利,0
秃,1
秀,1
私,1
每,0
兵,1
估,1
体,0
何,0
佑,2
但,0
伸,1
佃,2
作,0
伯,1
伶,1
佣,1
低,0
你,0
住,0
位,0
伴,1
身,0
皂,1
伺,2
佛,1
囱,2
近,0
彻,1
役,1
返,1
余,1
希,1
坐,1
谷,1
妥,1
含,1
邻,1
岔,1
肝,1
肛,2
肚,1
肘,2
肠,1
龟,1
甸,2
免,1
狂,1
犹,1
狈,2
角,0
删,1
鸠,2
条,0
彤,2
卵,1
灸,2
岛,1
刨,2
迎,1
饭,1
饮,1
系,0
言,1
冻,1
状,0
亩,1
况,0
床,1
库,1
庇,2
疗,1
吝,2
应,0
这,0
冷,1
庐,2
序,1
辛,1
弃,1
冶,1
忘,1
闰,2
闲,1
间,0
闷,1
判,1
兑,2
灶,1
灿,1
灼,2
弟,1
汪,1
沐,2
沛,2
汰,2
沥,2
沙,1
汽,1
沃,1
沦,2
汹,2
泛,1
沧,2
没,0
沟,1
沪,2
沈,1
沉,1
怀,1
忧,1
忱,2
快,0
完,0
宋,1
宏,1
牢,1
究,0
穷,1
灾,1
良,1
证,0
启,1
评,1
补,1
初,1
社,0
诅,2
识,0
诈,2
诉,1
罕,2
诊,1
词,1
译,1
君,1
灵,1
即,0
层,0
屁,2
尿,1
尾,1
迟,1
局,0
改,0
张,0
忌,1
际,0
陆,1
阿,1
陈,1
阻,1
附,1
坠,2
妓,2
妙,1
妖,1
姊,2
妨,1
妒,2
努,1
忍,1
劲,1
鸡,1
纬,2
驱,1
纯,1
纱,1
纲,1
纳,1
驳,1
纵,1
纷,1
纸,1
纹,1
纺,1
驴,1
纽,1
奉,1
玩,1
环,1
武,1
青,0
责,1
现,0
玫,2
表,0
规,0
抹,1
卦,2
坷,2
坯,2
拓,2
拢,1
拔,1
坪,2
拣,1
坦,1
担,1
坤,2
押,1
抽,1
拐,1
拖,1
者,0
拍,1
顶,1
拆,1
拥,1
抵,1
拘,1
势,1
抱,1
拄,2
垃,1
拉,0
拦,1
幸,1
拌,1
拧,2
拂,2
拙,2
招,1
坡,1
披,1
拨,1
择,1
抬,1
拇,2
拗,2
其,0
取,0
茉,2
苦,1
昔,2
苛,2
若,1
茂,1
苹,1
苫,2
苗,1
英,1
苟,2
苞,2
范,1
直,0
茁,2
茄,1
茎,1
苔,2
茅,1
枉,2
林,0
枝,1
杯,1
枢,2
柜,1
枚,2
析,1
板,1
松,1
枪,1
枫,2
构,0
杭,2
杰,1
述,1
枕,1
丧,1
或,0
画,1
卧,1
事,0
刺,1
枣,1
雨,1
卖,1
郁,2
矾,2
矿,0
码,1
厕,1
奈,2
奔,1
奇,1
奄,2
奋,1
态,1
欧,1
殴,2
垄,1
妻,1
轰,1
顷,1
转,0
斩,1
轮,1
软,1
到,0
非,0
叔,1
歧,2
肯,1
齿,1
些,0
卓,2
虎,1
虏,1
肾,1
贤,1
尚,1
旺,1
具,0
昙,2
味,1
果,0
昆,1
国,0
哎,2
咕,2
昌,1
呵,2
畅,1
明,0
易,0
咙,2
昂,1
典,1
固,1
忠,1
呻,2
咒,2
咐,1
呼,1
鸣,1
咆,2
咏,1
呢,1
咖,2
岸,1
岩,1
帖,1
罗,1
帜,1
帕,2
岭,1
凯,1
败,1
账,2
贩,1
贬,2
购,1
贮,2
图,0
钓,1
制,0
知,0
氛,2
垂,1
牧,1
物,0
乖,1
刮,1
秆,1
和,0
季,1
委,0
秉,2
佳,1
侍,1
岳,2
供,1
使,0
例,0
侠,2
侥,2
版,1
侄,1
侦,1
侣,2
侧,1
凭,1
侨,1
佩,1
货,1
侈,2
依,1
卑,2
的,0
迫,1
质,0
欣,1
征,1
往,0
爬,1
彼,1
径,1
所,0
舍,1
金,0
刽,2
刹,2
命,0
肴,2
斧,1
爸,1
采,0
觅,2
受,0
乳,1
贪,1
念,1
贫,1
忿,2
瓮,2
肤,1
肺,1
肢,1
肿,1
胀,1
朋,1
股,1
肮,2
肪,2
肥,1
服,1
胁,1
周,0
昏,1
鱼,1
兔,1
狐,1
忽,1
狗,1
狞,2
备,0
饰,1
饱,1
饲,1
变,0
京,0
享,1
庞,2
店,1
夜,1
庙,1
府,0
底,1
疟,2
疙,2
疚,2
剂,1
卒,2
郊,1
废,1
净,1
盲,1
放,0
刻,1
育,0
氓,2
闸,1
闹,1
郑,1
券,1
卷,1
单,0
炬,2
炒,1
炊,1
炕,1
炎,1
炉,1
沫,1
浅,1
法,0
泄,1
沽,2
河,1
沾,1
泪,1
沮,2
油,0
泊,1
沿,1
泡,1
注,1
泣,2
泞,2
泻,1
泌,2
泳,1
泥,1
沸,1
沼,2
波,1
泼,1
泽,1
治,0
怔,2
怯,2
怖,1
性,0
怕,1
怜,1
怪,1
学,0
宝,1
宗,1
定,0
宠,2
宜,1
审,1
宙,1
官,1
空,0
帘,1
宛,2
实,0
试,1
郎,1
诗,1
肩,1
房,1
诚,1
衬,1
衫,1
衩,2
视,1
祈,2
话,0
诞,1
诡,2
询,1
该,0
详,1
建,0
肃,1
录,1
隶,1
帚,2
屉,2
居,1
届,1
刷,1
屈,1
弧,2
弥,2
弦,1
承,1
孟,1
陋,2
陌,2
孤,1
陕,1
降,1
函,2
限,1
妹,1
姑,1
姐,1
姓,1
始,0
姆,2
虱,2
驾,1
叁,2
参,0
艰,1
线,0
练,1
组,0
绅,2
细,0
驶,1
织,0
驹,2
终,1
驻,1
绊,2
驼,1
绍,1
绎,2
经,0
贯,1
契,2
贰,2
奏,1
春,1
