character,stroke,radical,radical_stroke
一,1,一,1
丁,2,一,1
丂,2,一,1
𠀀,2,一,1
七,2,一,1
丄,2,一,1
丅,2,一,1
万,3,一,1
丈,3,一,1
三,3,一,1
上,3,一,1
下,3,一,1
丌,3,一,1
𠀃,3,一,1
不,4,一,1
与,4,一,1
丏,4,一,1
丐,4,一,1
丑,4,一,1
𠀇,4,一,1
𠀈,4,一,1
且,5,一,1
丕,5,一,1
世,5,一,1
𠀍,5,一,1
丘,5,一,1
㐀,5,一,1
丙,5,一,1
𠀓,5,一,1
㐁,6,一,1
丞,6,一,1
丟,6,一,1
𠀘,6,一,1
𠀙,6,一,1
𠀚,6,一,1
丠,6,一,1
丣,7,一,1
𠀡,7,一,1
𠀦,7,一,1
𠀢,7,一,1
並,8,一,1
𠀬,8,一,1
𠀭,8,一,1
𠀮,8,一,1
𠀸,9,一,1
𠤢,10,一,1
𠁁,11,一,1
𠁕,16,一,1
𤳏,16,一,1
𠁠,20,一,1
丨,1,丨,1
丩,2,丨,1
𠁡,2,丨,1
个,3,丨,1
丫,3,丨,1
㐄,3,丨,1
中,4,丨,1
丮,4,丨,1
丯,4,丨,1
丰,4,丨,1
丱,5,丨,1
𠁦,6,丨,1
串,7,丨,1
𠁧,7,丨,1
丳,8,丨,1
𠁩,8,丨,1
𠁭,9,丨,1
𠁮,9,丨,1
丵,10,丨,1
𠁰,10,丨,1
𠁱,10,丨,1
𠁴,12,丨,1
丶,1,丶,1
𠁼,3,丶,1
𠁽,3,丶,1
丸,3,丶,1
丹,4,丶,1
主,5,丶,1
丼,5,丶,1
𠁿,5,丶,1
𠂂,6,丶,1
丽,8,丶,1
𠂄,13,丶,1
丿,1,丿,1
乀,2,丿,1
𠂆,2,丿,1
乁,2,丿,1
乂,2,丿,1
𠂇,2,丿,1
乃,2,丿,1
𠂈,2,丿,1
㐅,2,丿,1
久,3,丿,1
乆,3,丿,1
乇,3,丿,1
么,3,丿,1
𠂍,3,丿,1
之,4,丿,1
𠂐,4,丿,1
乍,5,丿,1
乎,5,丿,1
𠂔,5,丿,1
乏,5,丿,1
𠂕,5,丿,1
𠂟,5,丿,1
𠂖,5,丿,1
𠂢,6,丿,1
乑,6,丿,1
𠂣,6,丿,1
𠂤,6,丿,1
𠂥,6,丿,1
𠂧,6,丿,1
𠂯,7,丿,1
乖,8,丿,1
𠂲,8,丿,1
𠂳,8,丿,1
𠂷,9,丿,1
乘,10,丿,1
𠂹,10,丿,1
𠂺,10,丿,1
𠪃,10,丿,1
𠂿,11,丿,1
𠃄,12,丿,1
乙,1,乙,1
𠃉,1,乙,1
𠃊,1,乙,1
乜,2,乙,1
九,2,乙,1
𠃏,2,乙,1
𠃐,2,乙,1
乞,3,乙,1
也,3,乙,1
𠃕,4,乙,1
𠃖,4,乙,1
乢,4,乙,1
乣,4,乙,1
㐌,5,乙,1
𠃞,5,乙,1
𠃡,5,乙,1
𠃟,5,乙,1
乨,6,乙,1
乩,6,乙,1
𠃤,6,乙,1
𠃥,6,乙,1
乱,7,乙,1
㐖,7,乙,1
𠧝,7,乙,1
乳,8,乙,1
乴,8,乙,1
乵,8,乙,1
𠃭,8,乙,1
𠂸,9,乙,1
乹,9,乙,1
㐜,9,乙,1
𠃲,9,乙,1
𠃶,9,乙,1
𠃳,9,乙,1
𠃸,10,乙,1
𠃺,10,乙,1
𤱡,10,乙,1
乾,11,乙,1
乿,11,乙,1
𠃼,11,乙,1
𠃽,11,乙,1
㐡,11,乙,1
𠃾,11,乙,1
㐤,12,乙,1
𥝀,12,乙,1
亂,13,乙,1
亃,13,乙,1
亄,13,乙,1
𠄃,13,乙,1
𠄅,14,乙,1
𠄇,14,乙,1
𠄈,14,乙,1
𠄉,17,乙,1
𠄋,20,乙,1
亅,1,亅,1
𠄌,1,亅,1
了,2,亅,1
𠄍,2,亅,1
𠄎,2,亅,1
𠄏,2,亅,1
𠄑,3,亅,1
予,4,亅,1
𠄒,4,亅,1
𠄓,4,亅,1
𠄔,4,亅,1
𠀩,6,亅,1
𠄕,6,亅,1
𠄖,7,亅,1
𠄗,7,亅,1
㐨,8,亅,1
事,8,亅,1
𠄙,8,亅,1
𠔗,8,亅,1
𠄚,11,亅,1
𠄛,12,亅,1
𠄝,16,亅,1
二,2,二,2
𠄞,2,二,2
𠄟,2,二,2
亍,3,二,2
于,3,二,2
亏,3,二,2
云,4,二,2
互,4,二,2
亓,4,二,2
五,4,二,2
井,4,二,2
亖,4,二,2
𠄡,4,二,2
亗,5,二,2
亘,6,二,2
𠄢,6,二,2
𠄣,6,二,2
亙,6,二,2
𠄤,6,二,2
𠀥,7,二,2
些,7,二,2
𠄨,7,二,2
亝,8,二,2
亞,8,二,2
亟,8,二,2
𠄮,8,二,2
𠄰,9,二,2
𠄱,9,二,2
𠄵,10,二,2
𠄹,11,二,2
𠄿,14,二,2
亠,2,亠,2
亡,3,亠,2
亢,4,亠,2
亣,4,亠,2
𠅂,5,亠,2
交,6,亠,2
亥,6,亠,2
亦,6,亠,2
𠅃,6,亠,2
亨,7,亠,2
㐬,7,亠,2
𠅈,7,亠,2
享,8,亠,2
京,8,亠,2
㐭,8,亠,2
𠅌,8,亠,2
亭,9,亠,2
亮,9,亠,2
亯,9,亠,2
𠅓,9,亠,2
亰,9,亠,2
𠅔,9,亠,2
亳,10,亠,2
𠅚,10,亠,2
𠅖,10,亠,2
𠅞,11,亠,2
𠅟,11,亠,2
𠅠,11,亠,2
𠅦,11,亠,2
𠅡,11,亠,2
𠅩,12,亠,2
𠅪,12,亠,2
𠅫,12,亠,2
𠅬,12,亠,2
亴,12,亠,2
亶,13,亠,2
𠆁,15,亠,2
𠆇,15,亠,2
𠆂,15,亠,2
𠆋,16,亠,2
𠆐,16,亠,2
𠆌,16,亠,2
𠆒,16,亠,2
𠆑,16,亠,2
𠆎,16,亠,2
㐯,17,亠,2
𠆚,18,亠,2
𠆝,19,亠,2
亹,21,亠,2
𠆟,24,亠,2
人,2,人,2
亼,3,人,2
𠆣,3,人,2
𠆤,3,人,2
什,4,人,2
仁,4,人,2
仂,4,人,2
仃,4,人,2
仄,4,人,2
仅,4,人,2
仆,4,人,2
仇,4,人,2
仈,4,人,2
仉,4,人,2
今,4,人,2
介,4,人,2
仌,4,人,2
仍,4,人,2
从,4,人,2
𠆦,4,人,2
仏,4,人,2
𠆨,4,人,2
仔,5,人,2
仕,5,人,2
㐰,5,人,2
他,5,人,2
仗,5,人,2
㐱,5,人,2
付,5,人,2
仙,5,人,2
仚,5,人,2
仛,5,人,2
仜,5,人,2
仝,5,人,2
仞,5,人,2
仟,5,人,2
仠,5,人,2
仡,5,人,2
㐲,5,人,2
𠆩,5,人,2
仢,5,人,2
代,5,人,2
令,5,人,2
以,5,人,2
㐳,5,人,2
𠆪,5,人,2
仦,5,人,2
𠆯,5,人,2
㐴,5,人,2
