index,tian,ren,di
1,1,9,5
1,1,9,6
1,1,0,5
1,1,0,6
1,2,9,5
1,2,9,6
1,2,0,5
1,2,0,6
1,3,9,5
1,3,9,6
1,3,0,5
1,3,0,6
1,4,9,5
1,4,9,6
1,4,0,5
1,4,0,6
1,5,9,5
1,5,9,6
1,5,0,5
1,5,0,6
1,6,9,5
1,6,9,6
1,6,0,5
1,6,0,6
1,7,9,5
1,7,9,6
1,7,0,5
1,7,0,6
1,8,9,5
1,8,9,6
1,8,0,5
1,8,0,6
1,9,9,5
1,9,9,6
1,9,0,5
1,9,0,6
1,0,9,5
1,0,9,6
1,0,0,5
1,0,0,6
1,9,5,9
1,9,5,0
1,9,6,9
1,9,6,0
1,0,5,9
1,0,5,0
1,0,6,9
1,0,6,0
1,3,9,3
1,3,9,4
1,3,0,3
1,3,0,4
1,4,9,3
1,4,9,4
1,4,0,3
1,4,0,4
1,3,3,9
1,3,3,0
1,3,4,9
1,3,4,0
1,4,3,9
1,4,3,0
1,4,4,9
1,4,4,0
1,5,9,3
1,5,9,4
1,5,0,3
1,5,0,4
1,6,9,3
1,6,9,4
1,6,0,3
1,6,0,4
1,3,9,5
1,3,9,6
1,3,0,5
1,3,0,6
1,4,9,5
1,4,9,6
1,4,0,5
1,4,0,6
2,7,7,3
2,7,7,4
2,7,8,3
2,7,8,4
2,8,7,3
2,8,7,4
2,8,8,3
2,8,8,4
2,3,3,7
2,3,3,8
2,3,4,7
2,3,4,8
2,4,3,7
2,4,3,8
2,4,4,7
2,4,4,8
2,7,7,2
2,7,8,2
2,8,7,2
2,8,8,2
2,1,1,6
2,1,2,6
2,2,1,6
2,2,2,6
3,7,9,5
3,7,9,6
3,7,0,5
3,7,0,6
3,8,9,5
3,8,9,6
3,8,0,5
3,8,0,6
3,7,9,7
3,7,9,8
3,7,0,7
3,7,0,8
3,8,9,7
3,8,9,8
3,8,0,7
3,8,0,8
3,9,3,9
3,9,3,0
3,9,4,9
3,9,4,0
3,0,3,9
3,0,3,0
3,0,4,9
3,0,4,0
3,5,9,9
3,5,9,0
3,5,0,9
3,5,0,0
3,6,9,9
3,6,9,0
3,6,0,9
3,6,0,0
3,3,9,7
3,3,9,8
3,3,0,7
3,3,0,8
3,4,9,7
3,4,9,8
3,4,0,7
3,4,0,8
3,7,9,3
3,7,9,4
3,7,0,3
3,7,0,4
3,8,9,3
3,8,9,4
3,8,0,3
3,8,0,4
