num,score,jixiong,short,brief,indication,foundation,family,health,future,fortune,description
1,98,大吉,太极之数，万物开泰，生发无穷，利禄亨通。,宇宙起源(太极之数),"天地、宇宙开泰的太极之数
吉祥运（表示健全、幸福、名誉等）。",聪明多学、成功富贵、名利双收、幸福、财帛、进田、长寿,竹木成林，父母有荫，家庭圆满，子女多孝。,健全，可望长寿（三才不善者不遇）。,大展鸿图、信用得固、无远弗屈、可获成功,天时地利人和，官运亨通、财源广进，名扬天下。,"(1)为万事万物的基本数。为最大吉祥的运势，属于分外的大成功、健康、富贵、名誉、幸福、可以享福终世。
(2)一为万事万物之始，始者气之始，具有创造、富贵、长寿之意义，为人性刚强且重义气，是一勤奋之格，有乐于助人之心，颇能受人尊仰，但仅有小气而未形成大气，故不可妄动，需缓缓而进，大可成功。"
2,45,大凶,两仪之数，混沌未开，进退保守，志望难达。,一身孤节(两仪之数),"未定的分离破灭数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",劫财、破灭、灾难危险、红颜，变迁、美貌,亲情疏远，夫妻应该互相理解，则免离别之苦。,凶弱、短命定有的，易患皮肤病，外伤，智折。,根基不固、遥遥欲坠、一盛一衰、劳而无获。,天时地利只欠人和，一生辛苦、劳累奔波、大起大落，难得收获。,"(1)混纯未定的数，为最大凶恶的暗示，无独立之气力，进退无自由，内外波澜、困苦不安，无雄心，易动摇，病患、遭难、甚至残废。如三才善良者不会夭折，其人辛苦一生（身），志望难达，破灭无常。（逆境、薄弱、病难、沉浮、短命、凶杀、非命等）
(2)此数为万事万物生长之数，但有形无气，有柔顺、无力之意，为人性柔顺，重利，被动，欠缺创新的思考能力，个性叛逆，遇事坚持己见，但无独立气魄。"
3,98,大吉,三才之数，天地人和，大事大业，繁荣昌隆。,吉祥(三才之数),"进取如意的增进繁荣的数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。",各种技术、技艺、祖业、丰盛自立、建业（官）禄。,家内施惠，可得贤妻（夫），六亲和睦，须戒自私。,如同松柏林立，健康良好，可望长寿。,根深蒂固、蒸蒸日上、如意吉祥、百事顺遂。,盈涌自然来，财富滚滚来，名利双收，地利人和，只欠天机。,"(1)阴阳和合，万物确定形成之相，有吉祥、成功、发达之兆，智达明敏，有才能技术，有首领的资格，自然之福，名利双收，能成事业，繁荣昌盛，进展有望，幸福无穷。
(2)万物定形之象，能博得名利之数。为人聪明，注重生活享受，心宽量大，具有领导风格，能建立大业之吉数。为人外向好动且重享受，人际关系好，一生顺利；喜欢掌握权力，不受拘束，对部属、晚辈宽厚，是一个天生管理别人的格局。"
4,50,凶,四象之数，待于生发，万事慎重，不具营谋。,凶变(四象之数),"身遭凶变的万事休止数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。",美貌（良心好）、香艳（公认的、有名气的）、破家、灾厄、劫财、败家业。,六亲缘薄、兄弟如同画饼。热先相助的少、应看开点。,衰弱、外伤、皮肤病、夭折、病死、发狂病（心里不平衡所致）。,坎坷前途、苦难折磨、非有毅力、望难成功。,天时人和只欠地利，意外收获，一时发展，易大起大落。,"(1)破坏性的凶变数，不足不全的灭亡之数，进退不自由、独立无能力，大多辛苦困难，或者逢其他凶运的配合而致发狂病死、夭折，或者放荡、破灭、逆难、终成废人，但孝子、节妇、怪杰，也有出自此数者。
(2)此数为不伦不类、无能生存之数，为人大多消极，性阴沉顽固，难成大事。一生精神多苦闷，力不从心，虽有才华也很努力开创，但总是脱离现实，很难被认同；身体尚佳，财运无缺，但对人际关系的处理上，较不圆融，易受亲友误解。不宜从事投机冒险事业，以免遭受失败。"
5,98,大吉,五行俱权，循环相生，圆通畅达，福祉无穷。,种竹成林(五行之数),"福禄长寿的福德集合数
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。",学者、祖业、文昌、福星、（官）星、财钱。,上下和睦，相互合作，可望圆满，子女多荫。,福禄如海，寿比南山，可望健康。,阴阳和合、生意兴隆、名利双收、后福重重。,天时地利人和，富甲一方，德高望重，反亏为盈，名利双收。,"(1)社际交广，和合完壁之相，隐藏着大成功，精神敏悦，身体健全，福禄长寿，富贵繁荣，无所不至，或中兴祖业，或在他乡成家，或复兴绝家、（或过继接家业）即使不如此，也会博得功名和荣誉，圆满无碍，福禄吉祥无比。
(2)一生贵人多助，吉星高照，温文有礼，很受欢迎，事业常有意外的好运，为人中立平和，能生能成，能四通八达，为人聪敏，性温和忠厚，人缘极佳，能兴家立业之吉数。外表虽沉稳，但内心积极求变，想法新颖具创意，不满足于现状，一心想追求更高境界，一生常变换工作或场所；交际手腕圆满，常令人心服口服。"
6,80,半吉,六爻之数，发展变化，天赋美德，吉祥安泰。,安稳(六爻之数),"吉庆的吉人天相数
次吉祥运（表示多少有些障碍，但能获得吉运）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。",豪杰、（官）禄、财富、（将）星、学者、,逢凶化吉、有一次大风险（危险）、可得长寿。,安宁自在，家庭和睦，可望健康。,万宝集门、天降幸运、立志奋发、得成大功。,应讲信修和、积善行德、不至于人财两空，必得人旺，吉庆一生。,"(1)天德地祥，福庆甚丰，家势盛大，万宝朝宗之运。然而满极则损，盈极则亏。若其他数理配合不周者，恐相如流水而下，成为所谓乐极生悲之相，此数理俱有天赋之美，安稳吉庆终身。
(2)为人豪爽，花钱较无节制，此数之人聪慧，兼具有美德之性格，若能平稳持重，可享和乐长寿，不然则容易乐极生悲，反为不利，但不至于会困顿潦倒。一生平顺，容易享有祖上余荫，具长者风范，愿提携后进，深得部属欢心喜爱；较爱面子，用钱较浪费，但在社会上，容易享有高声望。看来桃花多，婚后常有应酬，宜节制。"
7,88,吉,七政之数，精悍严谨，天赋之力，吉星照耀。,精悍(七政之数),"刚毅果断勇往直前的进取数
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。",豪杰、（官）禄、进取、技术、刚硬。,没有同化力，内外不和，善于涵养修身者，可得家庭圆满。,日月光明、心身健全、可得长寿。,独营生意、和生志强、排除万难、必获成功。,天时地利只欠人和，应预防小人，讲信修和，财源必得。,"(1)独立、单行、极感之相，过刚而缺乏同化力之意，如果顽刚弄权（术），易酿成内外不和，幸而有天赋的精力充沛，具有调节事物的才能，能够粉碎强敌，排出万难，若能有涵养雅量，扩大气度、自然幸福上进，女性有此数者、难免有男性之性情，切要注意温和才会吉利而无过失。
(2)个性刚毅独立，阳气过盛，为人性情刚硬，锋芒太露，容易与人不和，处事欠缺圆融，因之难免招来麻烦，先天具有天赋精力可克服万重难关。是一个恩怨分明的人，个性急，也很好奇，喜怒哀乐全写在脸上，人际较不和谐，有时自己的好意常被误解，心生怨气。"
8,85,吉,八卦之数，乾坎艮震，巽离坤兑，无穷无尽。,坚刚(八卦之数),"志刚意健的勤勉发展数
吉祥运（表示健全、幸福、名誉等）。",艺能、美术、学者、天（官）、（官）禄、师表、畜产（喜养殖）。,兴家成为发达贤人，家境先能后易。,高山立松完健百在，可望长寿。,努力发达、贯彻志望、不忘进退、可望成功。,天时地利人和，应注意修和，努力进取，财富必得。,"(1)意志如钢铁，富于进取的气质，排除万难。贯彻目的，名、实两得、忍耐而克己，逐成大功，但其他运配合不善者，可能有遭难的厄运。慎防官司、牢狱之灾。
(2)具有坚忍不拔的恒心和毅力，能贯彻意志成就愿望。但有时坚持己见，却容易迷失方向。具超强意志力和耐力，看来精力旺盛不服输，总是能突破重重难关，获得成功，拥有此数，大都少年早发；是一个宁为鸡头不为凤尾之人，希望自己施展抱负。一生容易成功，但也容易骄傲自满、自大，而引人反感而招来烦恼。"
9,50,凶,大成之数，蕴涵凶险，或成或败，难以把握。,破舟进海(大成之数),"吉尽凶始，穷乏之星
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",(官)禄、图印、太极、富翁、突（然）破（家或产）,亲情不和睦，说长道短的人多，努力坚持贤明者平安。,女性成风流或与夫别离，病弱。弱女者都应该晚婚，多积德可免短命。,虽抱奇才、有才无命、独营无力、财力难忘。,聪明智慧、财路很多，贪功好进，大起大落。如能行善，财富很多。,"(1)利去皆空，陷入穷途，逆运、短命、悲痛或幼小离亲而困苦、或者病弱、不遇、遭难废疾、贫困、灾难、孤独。甚至有刑罚、有不测之凶祸。人格有此数者为大凶或一生得免灾害，也难免配偶丧失，有缺子之叹，实为人生最大恶运，但在，例外的怪杰、富豪也有出此数者。
(2)一生虽理想高，但容易失败，有时有志难伸，知音难寻，容易超越现实不易融于社会。意志不很坚定，行动举止比较轻浮，是为孤苦无依之数，一生恋爱运、亲友运差，较难得到身边之人的帮助，且常陷于是非纠纷之中。倘能在失败挫折中潜心学习，或能在艺术、宗教、五术哲学领域中，渐渐得到成功发展。"
10,40,凶,终结之数，雪暗飘零，偶或有成，回顾茫然。,零暗(终结之数),"充满损耗数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。",天福、文昌、失财、（官）禄、破危、短命。,家内总是冷眼旁观者多，伤害妻子破镜难圆，百忍者尚可平和。,杀伤、刑罚、病弱、灾危、女的易风流。心性变态。,乌云遮月、暗淡无光、空费心力、徒劳无功。,劳累奔波，辛苦多多，即使发财，大起大落，多劳少收。,"(1)其凶恶胜于九数、为事物极终之运。有如黑暗境地，空虚无物，人格有此数者，多非业短命，如同日没，四顾茫茫，事事不顺、不利、乏气力，常陷于不如意，凡要求功，因多障碍，渐渐自失败，逐致破家亡户或者贫困、逆难叠至，无眷属之缘，或者自幼失亲，或者病弱、遭难，或者有不测之灾祸，或者犯官府等，难免非业非运，三才配和不善不得其宜者，大都中年前后，编进黄泉之籍，然而万人中有一两人可绝处逢生。
(2)不喜欢过平静的生活，生活漫无目标，好像身陷茫然中，以致会惹上莫明病痛，且易犯官司等不幸之状况。如常说好话，常做善事，就能由绝处而转变大成功。
创业过程比较容易投机取巧，起伏多变，不喜欢循规蹈矩平实的过日。易生意外，为人好面子，有点外华内虚。"
