codepoint,strokes,radical_codepoint,radical_strokes
19968,1,19968,1
19969,2,19968,1
19970,2,19968,1
131072,2,19968,1
19971,2,19968,1
19972,2,19968,1
19973,2,19968,1
19975,3,19968,1
19976,3,19968,1
19977,3,19968,1
19978,3,19968,1
19979,3,19968,1
19980,3,19968,1
131075,3,19968,1
19981,4,19968,1
19982,4,19968,1
19983,4,19968,1
19984,4,19968,1
19985,4,19968,1
131079,4,19968,1
131080,4,19968,1
19988,5,19968,1
19989,5,19968,1
19990,5,19968,1
131085,5,19968,1
19992,5,19968,1
13312,5,19968,1
19993,5,19968,1
131091,5,19968,1
13313,6,19968,1
19998,6,19968,1
19999,6,19968,1
131096,6,19968,1
131097,6,19968,1
131098,6,19968,1
20000,6,19968,1
20003,7,19968,1
131105,7,19968,1
131110,7,19968,1
131106,7,19968,1
20006,8,19968,1
131116,8,19968,1
131117,8,19968,1
131118,8,19968,1
131128,9,19968,1
133410,10,19968,1
131137,11,19968,1
131157,16,19968,1
150735,16,19968,1
131168,20,19968,1
20008,1,20008,1
20009,2,20008,1
131169,2,20008,1
20010,3,20008,1
20011,3,20008,1
13316,3,20008,1
20013,4,20008,1
20014,4,20008,1
20015,4,20008,1
20016,4,20008,1
20017,5,20008,1
131174,6,20008,1
20018,7,20008,1
131175,7,20008,1
20019,8,20008,1
131177,8,20008,1
131181,9,20008,1
131182,9,20008,1
20021,10,20008,1
131184,10,20008,1
131185,10,20008,1
131188,12,20008,1
20022,1,20022,1
131196,3,20022,1
131197,3,20022,1
20024,3,20022,1
20025,4,20022,1
20027,5,20022,1
20028,5,20022,1
131199,5,20022,1
131202,6,20022,1
20029,8,20022,1
131204,13,20022,1
20031,1,20031,1
20032,2,20031,1
131206,2,20031,1
20033,2,20031,1
20034,2,20031,1
131207,2,20031,1
20035,2,20031,1
131208,2,20031,1
13317,2,20031,1
20037,3,20031,1
20038,3,20031,1
20039,3,20031,1
20040,3,20031,1
131213,3,20031,1
20043,4,20031,1
131216,4,20031,1
20045,5,20031,1
20046,5,20031,1
131220,5,20031,1
20047,5,20031,1
131221,5,20031,1
131231,5,20031,1
131222,5,20031,1
131234,6,20031,1
20049,6,20031,1
131235,6,20031,1
131236,6,20031,1
131237,6,20031,1
131239,6,20031,1
131247,7,20031,1
