number,wuxing,jixiong,score,jixiong,brief,short,description,fortune
1,木,大吉,98,大吉,太极之数,太极之数，万物开泰，生发无穷，利禄亨通。,一为万事万物之始，始者气之始，具有创造、富贵、长寿之意义，为人性刚强且重义气，是一勤奋之格，有乐于助人之心，颇能受人尊仰，但仅有小气而未形成大气，故不可妄动，需缓缓而进，大可成功。,吉祥运（表示健全、幸福、名誉等）。
2,木,大凶,45,大凶,两仪之数,两仪之数，混沌未开，进退保守，志望难达。,此数为万事万物生长之数，但有形无气，有柔顺、无力之意，为人性柔顺，重利，被动，欠缺创新的思考能力，个性叛逆，遇事坚持己见，但无独立气魄。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
3,火,大吉,98,大吉,三才之数,三才之数，天地人和，大事大业，繁荣昌隆。,万物定形之象，能博得名利之数。为人聪明，注重生活享受，心宽量大，具有领导风格，能建立大业之吉数。为人外向好动且重享受，人际关系好，一生顺利；喜欢掌握权力，不受拘束，对部属、晚辈宽厚，是一个天生管理别人的格局。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。"
4,火,凶,50,凶,四象之数,四象之数，待于生发，万事慎重，不具营谋。,此数为不伦不类、无能生存之数，为人大多消极，性阴沉顽固，难成大事。一生精神多苦闷，力不从心，虽有才华也很努力开创，但总是脱离现实，很难被认同；身体尚佳，财运无缺，但对人际关系的处理上，较不圆融，易受亲友误解。不宜从事投机冒险事业，以免遭受失败。,"凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。"
5,土,大吉,98,大吉,五行之数,五行俱权，循环相生，圆通畅达，福祉无穷。,一生贵人多助，吉星高照，温文有礼，很受欢迎，事业常有意外的好运，为人中立平和，能生能成，能四通八达，为人聪敏，性温和忠厚，人缘极佳，能兴家立业之吉数。外表虽沉稳，但内心积极求变，想法新颖具创意，不满足于现状，一心想追求更高境界，一生常变换工作或场所；交际手腕圆满，常令人心服口服。,"吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。"
6,土,半吉,80,半吉,六爻之数,六爻之数，发展变化，天赋美德，吉祥安泰。,为人豪爽，花钱较无节制，此数之人聪慧，兼具有美德之性格，若能平稳持重，可享和乐长寿，不然则容易乐极生悲，反为不利，但不至于会困顿潦倒。一生平顺，容易享有祖上余荫，具长者风范，愿提携后进，深得部属欢心喜爱；较爱面子，用钱较浪费，但在社会上，容易享有高声望。看来桃花多，婚后常有应酬，宜节制。,"次吉祥运（表示多少有些障碍，但能获得吉运）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。"
7,金,吉,88,吉,七政之数,七政之数，精悍严谨，天赋之力，吉星照耀。,个性刚毅独立，阳气过盛，为人性情刚硬，锋芒太露，容易与人不和，处事欠缺圆融，因之难免招来麻烦，先天具有天赋精力可克服万重难关。是一个恩怨分明的人，个性急，也很好奇，喜怒哀乐全写在脸上，人际较不和谐，有时自己的好意常被误解，心生怨气。,"吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。"
8,金,吉,85,吉,八卦之数,八卦之数，乾坎艮震，巽离坤兑，无穷无尽。,具有坚忍不拔的恒心和毅力，能贯彻意志成就愿望。但有时坚持己见，却容易迷失方向。具超强意志力和耐力，看来精力旺盛不服输，总是能突破重重难关，获得成功，拥有此数，大都少年早发；是一个宁为鸡头不为凤尾之人，希望自己施展抱负。一生容易成功，但也容易骄傲自满、自大，而引人反感而招来烦恼。,吉祥运（表示健全、幸福、名誉等）。
9,水,凶,50,凶,大成之数,大成之数，蕴涵凶险，或成或败，难以把握。,一生虽理想高，但容易失败，有时有志难伸，知音难寻，容易超越现实不易融于社会。意志不很坚定，行动举止比较轻浮，是为孤苦无依之数，一生恋爱运、亲友运差，较难得到身边之人的帮助，且常陷于是非纠纷之中。倘能在失败挫折中潜心学习，或能在艺术、宗教、五术哲学领域中，渐渐得到成功发展。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
10,水,凶,40,凶,终结之数,终结之数，雪暗飘零，偶或有成，回顾茫然。,"不喜欢过平静的生活，生活漫无目标，好像身陷茫然中，以致会惹上莫明病痛，且易犯官司等不幸之状况。如常说好话，常做善事，就能由绝处而转变大成功。
创业过程比较容易投机取巧，起伏多变，不喜欢循规蹈矩平实的过日。易生意外，为人好面子，有点外华内虚。","凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。"
11,木,大吉,98,大吉,旱苗逢雨,万物更新，调顺发达，恢弘泽世，繁荣富贵。,看来是吉星高照，逢凶化吉之数，一生能平顺通达，福财禄不缺，很早就能享名望，一生敢做敢当，脚踏实地，深受同业或朋友敬佩。此数也是草木逢春、处处生机、天资聪颖之数，为人平稳踏实，得名望，当可大展鸿图。但主观意念稍重，易陷独断独行，反招人怨。,"吉祥运（表示健全、幸福、名誉等）。
温和运（性情平和、能得上下信望）。"
12,木,凶,55,凶,掘井无泉,无理之数，发展薄弱，虽生不足，难酬志向。,做事经不起考验，容易患得患失，遇事则易半途而废，错失良机而后悔莫及，凡事不堪打击，一败涂地，自怜自艾。常图非份之心，招致失败，以致陷入苦境。家族缘甚薄。个性温文儒雅，受朋友欢迎及长辈提拔，但意志薄弱，身体差，无法居领导位置，宜过安稳固定之生活。,"凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。"
13,火,大吉,98,大吉,春日牡丹,才艺多能，智谋奇略，忍柔当事，鸣奏大功。,适合作为领导型人物，外向好动，若从事社交公关、旅行或业务工作，容易发挥长才而获成功。为人足智多谋，多才博学，善于处理事务，具有随机应变之能力，获得大成功之吉数。唯因充满自信，逞其能者，有弄巧反拙，错失良机之暗示。因善外交辞令，应对得体，人缘好，受人欢迎，喜爱热闹场合，性急不拘小节，容易早交异性，人缘好，社会声望崇高。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
14,火,凶,45,凶,破兆,家庭缘薄，孤独遭难，谋事不达，悲惨不测。,常为经济拮据而困扰，因本位主义太重，不听劝告，一意孤行，为人好虚荣，重外表，不充实内涵，以致诸事不能如意，一生暗淡，家族缘薄，孤独无依，亲友缘薄不得助，孤僻冷漠，为人高傲，所以生活方面很苦闷。,"凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。
孤独运（妻不利夫或夫不利妻）。"
15,土,大吉,98,大吉,福寿,福寿圆满，富贵荣誉，涵养雅量，德高望重。,此数容易成功，少年早发，中年即能名利双收，富贵显耀，轻松获得成功，圆满无缺之大吉祥之数，因思想新颖而多变化且为人温良谦恭，能获得提拔，能成功立业。德高望重，福及子孙也。遇困难能得贵人相助，凡事能逢凶化吉；财运不错，为人慷慨大方，受人欢迎，身心健康，精力旺盛，一生少有病痛。,"富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。"
16,土,大吉,98,大吉,厚重,厚德载物，安富尊荣，财官双美，功成名就。,为人较爱面子，一生奋发，有果断力，能任劳任怨不辞劳苦，容易成就财富与功名，而受众人拥戴、推崇，又能获长上器重，而得到名望，成就一番事业，是富贵吉祥之数。与人谦恭有礼也乐于助人，人缘好，乐观幽默，深得异性喜爱；精力充沛，耐性也够。,"首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。"
17,金,半吉,78,半吉,刚强,权威刚强，突破万难，如能容忍，必获成功。,拥有坚忍的毅力令人敬畏，但负担过重，有时会突然崩溃，要小心！做事具有权威性，然而固执己意，缺乏沟通及宽容大量，然知过而无法改善，因之有失人和，受到非议或招失败。若能从善如流，即可大获成功。凡事喜自行做主，所以主观强，不甘屈居于人下，比较不擅处理人际关系，而易招嫉妒，容易为小事而与人争辩不休，宜小心。,"次吉祥运（表示多少有些障碍，但能获得吉运）。
刚情运（性刚固执、意气用事）。"
18,金,吉,90,吉,铁镜重磨,权威显达，博得名利，且养柔德，功成名就。,一生都能脚踏实地做事，有恒心，有毅力，能化阻力为助力，坚忍不拔，过程中容易遇上强劲对手，也有能力应付，且一生中能有权力威望，对事情会全力投入而奋斗不懈，能排除困难，达成目标，最后能名利双收。然因自尊心顽固，以致得不到他人之谅解，影响事业与声望，宜修心养性而安。历经困苦磨练才至成功，律己甚严自视高，给人高傲自大感，容易得罪别人而惹麻烦。,"吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。
刚情运（性刚固执、意气用事）。"
19,水,凶,40,凶,多难,风云蔽日，辛苦重来，虽有智谋，万事挫折。,为人虽多才多艺且颇有智能，足以建立大业，博得名利，但中途多遇挫折，以致前功尽弃之叹，人生是属独立早熟型，事业、身体易遭损伤，或卷入是非纠纷，而留下痛苦经验，很多事都功亏一篑，有内外不和之象发生。然亦有富翁、伟人出自此数者；为人想象力丰富，对哲学、宗教、设计往往有良好天份。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
